28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

       680         26.8359         22.8853         4.46625
       681         26.8359         22.5178         4.83839
       682         26.8359         23.0272         4.15005
       683         26.8359         22.6728         4.51817
       684         26.8359         23.8561         2.85706
       685         26.8359         22.7431         3.91939
       686         26.8359         23.1296         3.77742
       687         26.8359          22.913         3.48291
       688         26.8359         23.1455         3.35409
       689         26.8359         22.2318         4.69397
       690         26.8359         22.2178         5.73258
       691         26.8359         22.4317         4.67076
       692         26.8359         22.5272         4.84216
       693         26.8359         22.9273         5.32441
       694         26.8359         23.2156         5.47419
       695         26.8359         23.2614         5.21327
       696         26.8359          23.391         5.61485
       697         26.8359         24.8463         2.34426
       698         26.8359         22.4593         5.18643
       699         26.8359         23.6026         3.47833
       700         26.8359          22.568         5.31084
       701         26.8359         22.9106         4.45271
       702         26.8359         21.7198         5.24764
       703         26.8359         22.3681         5.42892
       704         26.8359         22.2875          4.6899
       705         26.8359         21.1569         5.24044
       706         26.8359         21.9236         4.76243
       707         26.8359         21.5589         5.67331
       708         26.8359         21.1463         5.57436
       709         26.8359         20.3176         7.16041
       710         26.8359         20.9433         6.95559
       711         26.8359         23.0297         5.20462
       712         26.8359         23.8353         3.04508
       713         26.8359         20.9576         6.75891
       714         26.8359         22.1407          4.7574
       715         26.8359         20.8663          5.7438
       716         26.8359         22.5638         3.94104
       717         26.8359         21.2192         5.67015
       718         26.8359         22.8771         3.84154
       719         26.8359         21.9936          4.2061
       720         26.8359         21.3821         5.87957
       721         26.8359         21.1544         5.42302
       722         26.8359         21.7912         5.13924
       723         26.8359         20.8982         5.73753
       724         26.8359         20.7302         5.86271
       725         26.8359         21.9869         4.58457
       726         26.8359         22.4355         5.87492
       727         26.8359          23.415         5.18504
       728         26.8359         23.0117          5.4773
       729         26.8359         23.9277         3.15432
       730         26.8359         22.5508          4.7683
       731         26.8359         21.9711         5.19714
       732         26.8359         23.9014         3.86642
       733         26.8359         22.5234         5.61287
       734         26.8359         23.5393         3.54069
       735         26.8359         22.4963         4.68539
       736         26.8359          21.345         6.03887
       737         26.8359         22.5292         5.58181
       738         26.8359         23.9086         3.74797
       739         26.8359         22.3435         5.09773
       740         26.8359         23.2561         4.61365
       741         26.8359         22.4765         4.64484
       742         26.8359         21.9764         5.09614
       743         26.8359          22.627         4.90189
       744         26.8359         23.8147         3.05984
       745         26.8359         22.4247         5.28745
       746         26.8359          22.421         5.15658
       747         26.8359           22.18         5.21194
       748         26.8359         22.6603         4.52647
       749         26.8359         22.7385          5.2529
       750         26.8359         24.3758          3.9959
       751         26.8359         24.0094          3.5308
       752         26.8359         23.3878         5.11086
       753         26.8359         22.9697          5.8336
       754         26.8359         22.6843         4.94438
       755         26.8359         23.0307         4.16543
       756         26.8359         22.5852         4.03184
       757         26.8359         22.5759         3.69118
       758         26.8359         22.6131         4.39804
       759         26.8359         23.5647         2.34585
       760         26.8359          23.419         3.54135
